No,Badan Publik,Provinsi/Kabupaten/Kota,Tahun,Kualifikasi
1,Dinas Komunikasi dan Informatika Kabupaten Badung, Badung,2024,Informatif
2,"Dinas Komunikasi, Informatika, Persandian dan Statistik Kabupaten Buleleng", Buleleng,2024,Informatif
3,Dinas Komunikasi dan Informatika Kabupaten Jembrana, Jembrana,2024,Informatif
4,"Dinas Komunikasi, Informatika dan Statistik Kota Denpasar",Denpasar,2024,Informatif
5,Dinas Komunikasi dan Informatika Kabupaten Tabanan, Tabanan,2024,Informatif
6,Dinas Komunikasi dan Informatika Kabupaten Klungiung, Klungkung,2024,Informatif
7,Dinas Komunikasi dan Informatika Kabupaten Gianyar, Gianyar,2024,Informatif
8,Dinas Komunikasi dan Informatika Kabupaten Karangasem, Karangasem,2024,Informatif
9,Dinas Komunikasi dan Informatika Kabupaten Bangli, Bangli,2024,Informatif
10,Sekretariat DPRD Provinsi Bali,Provinsi,2024,Informatif
11,Dinas Kesehatan Provinsi Bali,Provinsi,2024,Informatif
12,Dinas Pemajuan Masyarakat Adat Provinsi Bali,Provinsi,2024,Informatif
13, Dinas Pariwisata Provinsi Bali,Provinsi,2024,Informatif
14,Badan Penghubung Provinsi Bali,Provinsi,2024,Menuju Informatif
15,Biro Umum dan Protokol Sekretariat Daerah Provinsi Bali,Provinsi,2024,Cukup Informatif
16,DinasKebudayaan Provinsi Bali,Provinsi,2024,Cukup Informatif
17,Dinas Kelautandan Perikanan Provinsi Bali,Provinsi,2024,Cukup Informatif
18,Dinas Perindustrian dan Perdagangan Kota Denpasar,Denpasar,2024,Informatif
19,Dinas Perindustrian dan Tenaga Kerja Kabupaten Badung, Badung,2024,Informatif
20,Inspektorat Daerah Kabupaten Buleleng, Buleleng,2024,Informatif
21,"Dinas Pemberdayaan Perempuan, Perlindungan Anak dan Pengendalian Penduduk, dan Keluarga Berencana Kabupaten Gianyar", Gianyar,2024,Informatif
22,Dinas Perhubungan Kota Denpasar,Denpasar,2024,Informatif
23,Sekretariat Dewan Perwakilan Rakyat Daerah Kabupaten Badung, Badung,2024,Informatif
24,Sekretariat Dewan Perwakilan Rakyat Daerah Kota Denpasar,Denpasar,2024,Informatif
25,"Dinas Koperasi, Usaha Kecil dan Menengah dan Perdagangan Kabupaten Jembrana", Jembrana,2024,Informatif
26,Badan Perencanaan Pembangunan Daerah Kabupaten Klungkung, Klungkung,2024,Informatif
27,Inspektorat Daerah Kabupaten Gianyar, Gianyar,2024,Informatif
28,Inspektorat Daerah Kabupaten Jembrana, Jembrana,2024,Informatif
29,Dinas Perumahan Rakyat dan Kawasan Permukiman Kabupaten Badung, Badung,2024,Informatif
30,Dinas Kebakaran dan Penyelamatan Kabupaten Badung, Badung,2024,Informatif
31,Dinas Perpustakaan dan Kearsipan Kota Denpasar,Denpasar,2024,Menuju Informatif
32,Dinas Kearsiapan dan Perpustakaan Kabupaten Badung, Badung,2024,Menuju Informatif
33,Dinas Perhubungan Kabupaten Badung, Badung,2024,Menuju Informatif
34,Dinas Kependudukan dan Pencatatan Sipil Kabupaten Badung,Kabupaten Badung,2024,Menuju Informatif
35,Badan Riset dan Inovasi Daerah Kota Denpasar,Denpasar,2024,Menuju Informatif
36,Badan Pengelolaan Keuangan dan Aset Daerah Kota Denpasar,Denpasar,2024,Menuju Informatif
37,Inspektorat Daerah Kota Denpasar,Denpasar,2024,Menuju Informatif
38,"Dinas Pemberdayaan Perempuan dan Perlindungan Anak. Pengendalian Penduduk dan Keluarga Berencana
Kota Denpasar",Denpasar,2024,Menuju Informatif
39,Dinas Kebudayaan Kabupaten Tabanan, Tabanan,2024,Menuju Informatif
40,Inspektorat Kabupaten Bangli, Bangli,2024,Menuju Informatif
41,Dinas Kearsipan dan Perpustakaan Kabupaten Klungkung, Klungkung,2024,Menuju Informatif
42,Satuan Polisi Pamong Paraja Kabupaten Buleleng, Buleleng,2024,Menuju Informatif
43,Dinas Sosial Kabupaten Buleleng, Buleleng,2024,Menuju Informatif
44,Dinas Pemadam Kebakaran dan Penyelamatan Kabupaten Buleleng, Buleleng,2024,Menuju Informatif
45,Badan Perencanaan Pembangunan Daerah Kabupaten Buleleng, Buleleng,2024,Menuju Informatif
46,Badan Kesatuan Bangsa dan Politik Kabupaten Badung, Badung,2024,Menuju Informatif
47,Dinas Arsip dan Perpustakaan Daerah Kabupaten Buleleng, Buleleng,2024,Menuju Informatif
48,Badan Kesatuan Bangsa dan Politik Kabupaten Buleleng, Buleleng,2024,Menuju Informatif
49,"Dinas Sosial Pemberdayaan Perempuan dan Perlindungan Anak, Pengendalian Penduduk dan Keluarga Berencana Kabupaten Karangasem", Karangasem,2024,Menuju Informatif
50,Badan Riset dan Inovasi Daerah Kabupaten Bangli, Bangli,2024,Menuju Informatif
51,Badan Kesatuan Bangsa Dan Politik Kabupaten Tabanan, Tabanan,2024,Menuju Informatif
52,"Dinas Pemberdayaan Perempuan dan Perlindungan Anak, Pengendalian Penduduk dan Keluarga Berencana Kabupaten Jembrana", Jembrana,2024,Menuju Informatif
53,Dinas Lingkungan Hidup Kabupaten Jembrana, Jembrana,2024,Menuju Informatif
54,"Dinas Perhubungan, Kelautan dan Perikanan Kabupaten Jembrana", Jembrana,2024,Menuju Informatif
55,"Dinas Pengendalian Penduduk, Keluarga Berencana, Pemberdayaan Perempuan dan Perlindungan Anak Kabupaten Buleleng", Buleleng,2024,Menuju Informatif
56,Sekretariat Dewan Perwakilan Rakyat Daerah Kabupaten Jembrana, Jembrana,2024,Menuju Informatif
57,Badan Kesatuan Bangsa Dan Politik Kabupaten Jembrana, Jembrana,2024,Menuju Informatif
58,Dinas Perpustakaan dan Kearsipan Kabupaten Gianyar, Gianyar,2024,Cukup Informatif
59,Dinas Kependudukan dan Pencatatan Sipil Kabupaten Bangli, Bangli,2024,Cukup Informatif
60,Sekretariat Dewan Perwakilan Rakyat Daerah Kabupaten Gianyar, Gianyar,2024,Cukup Informatif
